Animal ID	year	species	common name	species abbrev	sex	age	age_bin	sample_date	PDV_titer	PDV_result
09-078	2011	Phoca vitulina	Harbor seal	Pv	Female	juvenile	AFY	5/5/2011	 <8	neg
09-080	2010	Phoca vitulina	Harbor seal	Pv	Unknown	juvenile	AFY	1/8/2010	 <8	neg
10-001	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	1/8/2010	8	pos
10-002	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	1/22/2010	 <8	neg
10-004	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	1/21/2010	 <8	neg
10-005	2010	Pagophilus groenlandicus	Harp seal	Pg	Male	juvenile	AFY	1/29/2010	 <8	neg
10-006	2010	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	1/21/2010	8	pos
10-007	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	2/5/2010	 <8	neg
10-008	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	2/19/2010	 <8	neg
10-010	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	2/23/2010	 <8	neg
10-011	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	2/26/2010	 <8	neg
10-015	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	adult	AFY	3/10/2010	16	pos
10-016	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	3/12/2010	 <8	neg
10-017	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	3/12/2010	 <8	neg
10-018	2010	Halichoerus grypus	Grey seal	Hg	Male	pup	FY	3/23/2010	 <8	neg
10-019	2010	Pagophilus groenlandicus	Harp seal	Pg	Unknown	juvenile	AFY	3/30/2010	 <8	neg
10-020	2010	Halichoerus grypus	Grey seal	Hg	Unknown	pup	FY	4/2/2010	 <8	neg
10-021	2010	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	4/16/2010	32	pos
10-022	2010	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	4/16/2010	32	pos
10-023	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2010	 <8	neg
10-024	2010	Halichoerus grypus	Grey seal	Hg	Female	pup	FY	5/20/2010	 <8	neg
10-025	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/24/2010	 <8	neg
10-026	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/20/2010	 <8	neg
10-027	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/24/2010	 <8	neg
10-028	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	4/25/2010	8	pos
10-029	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/25/2010	16	pos
10-030	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/25/2010	16	pos
10-031	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/25/2010	 <8	neg
10-032	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/25/2010	 <8	neg
10-033	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/25/2010	16	pos
10-034	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/27/2010	8	pos
10-035	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/24/2010	 <8	neg
10-036	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/27/2010	32	pos
10-037	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/27/2010	 <8	neg
10-038	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/27/2010	8	pos
10-039	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/3/2010	 <8	neg
10-040	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/3/2010	 <8	neg
10-041	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/3/2010	 <8	neg
10-042	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/3/2010	 <8	neg
10-043	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/3/2010	32	pos
10-044	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/3/2010	 <8	neg
10-045	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/3/2010	8	pos
10-046	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/3/2010	8	pos
10-047	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/3/2010	8	pos
10-048	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/3/2010	 <8	neg
10-049	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/3/2010	8	pos
10-050	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/14/2010	 <8	neg
10-051	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/14/2010	 <8	neg
10-052	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/14/2010	8	pos
10-053	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/24/2010	 <8	neg
10-054	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	6/24/2010	 <8	neg
10-055	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	6/24/2010	8	pos
10-056	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/6/2010	 <8	neg
10-057	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/6/2010	8	pos
10-058	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/6/2010	16	pos
10-059	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/6/2010	8	pos
10-060	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/6/2010	 <8	neg
10-061	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/8/2010	 <8	neg
10-062	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/8/2010	 <8	neg
10-063	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/8/2010	 <8	neg
10-065	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/15/2010	 <8	neg
10-066	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/15/2010	 <8	neg
10-067	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/15/2010	16	pos
10-069	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2010	16	pos
10-070	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/21/2010	16	pos
10-071	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/29/2010	32	pos
10-072	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/29/2010	 <8	neg
10-073	2012	Phoca vitulina	Harbor seal	Pv	Unknown	weanling	FY	9/5/2012	 <8	neg
10-074	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/29/2010	 <8	neg
10-075	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	7/29/2010	 <8	neg
10-076	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	7/29/2010	 <8	neg
10-077	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/4/2010	 <8	neg
10-078	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/4/2010	 <8	neg
10-079	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/4/2010	 <8	neg
10-080	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/13/2010	8	pos
10-081	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/13/2010	16	pos
10-082	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/13/2010	 <8	neg
10-083	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	8/19/2010	 <8	neg
10-084	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	8/19/2010	 <8	neg
