PDV	Sex	Condition
N	F	70.3030303
N	F	76.25
N	M	98.38709677
N	F	63
N	F	65.34653465
N	F	71.57894737
P	M	71.50259067
N	M	72.63157895
N	M	77.17391304
N	F	67.43119266
P	F	76
N	M	75.74257426
N	F	86.51685393
N	M	77.83251232
N	M	79
P	M	84.49197861
N	F	74.29906542
N	F	82.4742268
N	F	84.21052632
N	M	85.10638298
N	F	81.31313131
N	F	75.70093458
N	M	77.51196172
N	M	81
N	F	81.1
N	F	76.27906977
N	F	78.0952381
N	F	81.18811881
P	F	84.53608247
N	F	89.13043478
N	M	74.32432432
P	M	78.57142857
N	F	79.42307692
N	M	78.30188679
N	F	88.29787234
P	F	75.67567568
N	M	76.36363636
N	M	77.77777778
P	M	80.76923077
N	M	82.35294118
N	F	83.16831683
N	F	86.59793814
P	M	87.5
N	F	90.32258065
N	F	93.33333333
N	F	80.47619048
N	F	81.25
N	M	82.84313725
N	F	83.1372549
N	F	84.8
N	M	71.94915254
N	M	77.27272727
N	F	77.98165138
N	F	84.15841584
N	F	85
P	F	85
N	M	84.2364532
N	F	60.9929078
N	F	78.18181818
N	F	79.62962963
N	M	82.69230769
N	M	83.90243902
N	M	85.14851485
N	U	86.86868687
N	F	93.47826087
N	M	76.54867257
N	F	79.81651376
N	M	81.30841121
N	F	82.0754717
N	F	86.13861386
P	F	86.13861386
N	M	88.3248731
N	F	89.23076923
P	F	91.09947644
N	M	90.20618557
P	M	79.27927928
N	M	80
N	F	87.12871287
N	M	88.88888889
N	F	88.5
N	M	84.66666667
N	M	78.76106195
N	M	78.76106195
N	M	79.46428571
N	F	83.96226415
N	F	84.76190476
N	M	85.57692308
N	F	93.68421053
N	M	87.74509804
N	F	89.05472637
N	F	78.94736842
N	M	83.33333333
N	F	83.33333333
N	M	83.33333333
N	F	84.90566038
N	F	84.90566038
N	M	84.90566038
N	F	85.71428571
N	F	87.37864078
N	M	87.37864078
N	F	95.74468085
N	M	100
N	F	84.57943925
N	F	81.25
N	M	81.25
N	F	83.48623853
N	M	83.48623853
N	F	84.25925926
N	M	85.04672897
N	F	87.5
N	U	87.5
N	M	91.91919192
N	M	92.85714286
N	F	83.94495413
N	M	87.98076923
N	M	92.42424242
N	M	75.08196721
N	M	70.22900763
P	M	76.03305785
N	M	81.4159292
